10	21	0	9
0	1	12
0	8	12
0.02	0.08	0.90
0	2	35
0	24	35
0.03	0.12	0.85
0	3	24
0	18	24
0.02	0.10	0.88
1	4	50
0	35	50
0.05	0.20	0.75
1	5	10
0	7	10
0.07	0.25	0.68
1	2	30
0	22	30
0.04	0.11	0.85
2	6	24
0	19	24
0.06	0.14	0.80
2	7	10
0	6	10
0.08	0.17	0.75
2	3	12
0	7	12
0.03	0.13	0.84
3	8	45
0	33	45
0.09	0.06	0.85
4	6	18
0	14	18
0.10	0.13	0.77
4	9	25
0	21	25
0.02	0.22	0.76
2	5	12
0	10	12
0.12	0.43	0.45
4	5	36
0	27	36
0.01	0.05	0.94
5	6	50
0	38	50
0.08	0.12	0.80
6	7	30
0	17	30
0.03	0.15	0.82
6	9	20
0	13	20
0.06	0.15	0.79
3	7	45
0	28	45
0.02	0.03	0.95
7	8	25
0	14	25
0.10	0.05	0.85
6	8	24
0	11	24
0.08	0.42	0.50
8	9	30
0	23	30
0.01	0.04	0.95	
